epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82881,1.248,3.66208,1.67793,0.02004,1,0.224,0.1152,0.66482,2.75827,1.40106,9.996e-05,9.996e-05,9.996e-05
2,14.5209,0.94243,3.17002,1.47305,0.01237,1,0.45032,0.29794,0.67594,3.04774,1.31948,0.000206188,0.000206188,0.000206188
3,19.442,0.91236,2.72767,1.44454,0.00744,1,0.83371,0.62402,0.68632,2.7386,1.31293,0.000310273,0.000310273,0.000310273
4,25.0412,0.9454,2.23314,1.41537,0.85325,0.4443,0.78622,0.549,0.83499,2.10497,1.46799,0.000412213,0.000412213,0.000412213
5,29.6475,0.89333,1.92598,1.38194,0.82848,0.84769,0.90258,0.68544,0.81357,2.54504,1.41918,0.000512008,0.000512008,0.000512008
6,35.2571,0.88472,1.74268,1.35149,0.84991,0.63857,0.93914,0.70559,0.73215,2.24857,1.3002,0.00060966,0.00060966,0.00060966
7,39.7628,0.88477,1.66802,1.36957,0.65591,0.76698,0.77293,0.55138,0.81745,2.28681,1.55333,0.000705168,0.000705168,0.000705168
8,44.2221,0.8563,1.58656,1.32765,0.65826,0.85143,0.93703,0.72158,0.73806,6.47077,1.35164,0.000775273,0.000775273,0.000775273
9,50.1404,0.84761,1.47687,1.31903,0.76937,0.81799,0.95627,0.77188,0.6525,8.06068,1.27547,0.000767026,0.000767026,0.000767026
10,54.9658,0.8829,1.47286,1.33546,0.86604,0.77475,0.98988,0.7335,0.78707,9.21465,1.43037,0.00075878,0.00075878,0.00075878
11,60.2825,0.83359,1.39429,1.30557,0.85286,0.97394,0.9933,0.71069,0.88081,9.63297,1.53487,0.000750533,0.000750533,0.000750533
12,64.8797,0.84249,1.34832,1.30559,0.76566,0.90466,0.88641,0.59225,1.05989,3.62973,1.6478,0.000742286,0.000742286,0.000742286
13,69.4615,0.80898,1.27786,1.28827,0.97585,0.99493,0.995,0.72023,0.96795,8.57825,1.62979,0.00073404,0.00073404,0.00073404
14,75.0468,0.78096,1.22738,1.24803,0.93251,0.97011,0.995,0.70143,0.92291,3.73244,1.522,0.000725793,0.000725793,0.000725793
15,79.5978,0.82552,1.15421,1.28209,0.97839,0.98361,0.995,0.77185,0.72179,4.57876,1.31318,0.000717546,0.000717546,0.000717546
16,84.4717,0.8047,1.17145,1.27652,0.98762,0.87147,0.99458,0.78912,0.66427,4.60603,1.27072,0.000709299,0.000709299,0.000709299
17,89.633,0.81193,1.089,1.26917,0.8994,0.90247,0.9912,0.76792,0.71929,6.81469,1.32816,0.000701053,0.000701053,0.000701053
18,94.1941,0.82996,1.13551,1.29002,0.98484,0.99481,0.995,0.77922,0.75017,3.00297,1.33579,0.000692806,0.000692806,0.000692806
19,99.5972,0.76886,1.06547,1.23722,0.84706,0.91714,0.995,0.78902,0.74543,5.97675,1.36215,0.000684559,0.000684559,0.000684559
20,104.14,0.77658,1.10909,1.26575,0.91022,0.97588,0.995,0.70945,0.8873,12.7158,1.51032,0.000676313,0.000676313,0.000676313
21,108.668,0.71885,1.04774,1.22979,0.9116,0.8673,0.84981,0.6397,0.83725,8.46317,1.38723,0.000668066,0.000668066,0.000668066
22,114.266,0.78501,1.09604,1.24649,0.97802,0.99938,0.995,0.7758,0.74125,7.11847,1.32882,0.000659819,0.000659819,0.000659819
23,118.757,0.71539,0.99944,1.2134,0.99396,1,0.995,0.78463,0.72362,6.50829,1.36904,0.000651573,0.000651573,0.000651573
24,123.577,0.72792,0.94751,1.21353,0.88735,0.94126,0.99478,0.78622,0.72281,8.37084,1.34348,0.000643326,0.000643326,0.000643326
25,128.484,0.75641,0.97056,1.25625,0.98338,0.96108,0.995,0.78191,0.70087,11.1902,1.32096,0.000635079,0.000635079,0.000635079
26,133.623,0.76444,0.93317,1.23937,0.96854,0.99152,0.995,0.77744,0.71939,12.2645,1.33202,0.000626832,0.000626832,0.000626832
27,139.482,0.74338,0.89176,1.21561,0.93753,0.95985,0.995,0.7584,0.82644,4.80554,1.51684,0.000618586,0.000618586,0.000618586
28,143.92,0.73234,0.86451,1.20792,0.99264,1,0.995,0.74678,0.84429,8.3297,1.46478,0.000610339,0.000610339,0.000610339
